Id,Start,End,Implementor,Requestor,Department,IsApproved,RiskEval_RiskValue,RiskEval_Result,SubmittedOn,SubmittedBy,Category,TypeOfChange,WorkflowApprovedOn,WorkflowStep,DB_CreatedDate,DB_LastModifiedDate,Dump,Closed Status,Season,WorkflowStep,TotalTimeForChange,CLOSED COUNT
3617,4/8/2021 5:00,4/8/2021 6:02,alizak,mgeist,NTS,1,4,C1,05:57.0,jschilen,IE - Server,Urgent,07:54.0,CAB,14:54.4,14:37.8,0:57,TRUE,Spring,CAB,1.033333333,1
3616,4/11/2021 6:00,4/11/2021 7:00,tschind4,tschind4,SAM,1,4,C4,20:33.0,dmills1,IE - CIG,Normal,00:00.0,Approver,14:54.3,14:37.7,0:57,TRUE,Spring,Approver,1,1
3615,4/5/2021 5:00,4/5/2021 7:00,khodar,khodar,IE,1,3,C1,54:44.0,achiccar,Network,Normal,01:40.0,Completed,45:16.3,14:37.9,1:55,TRUE,Spring,Completed,2,1
3614,4/5/2021 5:00,4/5/2021 7:00,degregio,degregio,GPS (Graduation Planning System),0,3,C1,54:44.0,achiccar,Network,Normal,01:40.0,CAB,00:46.5,30:22.0,1:55,TRUE,Spring,CAB,2,1
3613,4/6/2021 5:00,4/6/2021 7:00,khodar,tbordon1,Network,1,3,C3,18:15.0,treynold,Banner,Normal,04:50.0,Completed,00:20.6,14:38.1,1:55,TRUE,Spring,Completed,2,1
3612,4/6/2021 5:00,4/6/2021 7:00,alizak,mgeist,NTS,1,4,C4,46:46.0,tbowser,Banner,Normal,04:11.0,CAB,00:20.5,14:38.0,1:55,TRUE,Spring,CAB,2,1
3611,4/6/2021 5:00,4/6/2021 7:00,mladoia,sstillis,IS,0,4,C4,26:45.0,lbowser,Document Imaging,Normal,07:05.0,CAB,00:58.4,14:38.5,1:55,TRUE,Spring,CAB,2,1
3610,4/8/2021 2:00,4/8/2021 6:00,motgonyi,aesterl1,Systems Development,1,3,V2,32:07.0,rbungo,Ed Tech,Vendor,00:00.0,Implemented,00:57.9,14:38.2,4:04,TRUE,Spring,CAB2,4,1
3609,3/31/2021 7:00,3/31/2021 21:24,adhuston,adhuston,Infrastructure Engineering,1,4,V4,31:59.0,plthomas,Other,Vendor,00:00.0,Implemented,15:42.6,14:38.3,14:24,TRUE,Spring,CAB2,14.4,1
3608,4/6/2021 5:00,4/6/2021 7:00,rgrudosk,jfishe16,data center,1,4,C4,18:31.0,lbowser,Document Imaging,Normal,23:52.0,CAB,15:42.6,14:38.3,1:55,TRUE,Spring,CAB,2,1
3607,4/4/2021 5:00,4/4/2021 6:00,khodar,mberry,IS,1,4,C4,35:36.0,czehner1,Ed Tech,Normal,58:29.0,CAB,00:30.4,14:38.6,0:57,TRUE,Spring,CAB,1,1
3606,4/6/2021 5:00,4/6/2021 7:00,nlupica1,nlupica1,Infrastructure Engineering,1,4,C4,47:55.0,tbowser,Banner,Normal,50:24.0,CAB,00:30.3,14:38.5,1:55,TRUE,Spring,CAB,2,1
3605,4/10/2021 7:00,4/10/2021 9:00,jeveleth,jfishe16,OUA/Data Center,1,4,IE,30:19.0,cshaff14,Data Center,Informational,00:00.0,Implemented,00:30.2,14:38.4,1:55,TRUE,Spring,CAB2,2,1
3604,4/6/2021 5:00,4/6/2021 7:00,jschilen,lpark,Infrastructure Engineering,0,4,C4,49:01.0,tbowser,Banner,Normal,05:47.0,CAB,01:03.8,14:38.7,1:55,TRUE,Spring,CAB,2,1
3603,3/30/2021 10:30,3/30/2021 12:00,wrobins,jdunfee,Information Services,1,4,IE,22:08.0,sshaff17,Network,Informational,00:00.0,Implemented,00:47.9,14:38.9,1:26,TRUE,Spring,CAB2,1.5,1
3602,4/1/2021 6:00,4/1/2021 6:30,mberry,tbowser,HR,0,4,C3,59:23.0,jdunfee,Outsystems,Normal,04:42.0,Completed,00:47.9,14:38.8,0:28,TRUE,Spring,Completed,0.5,1
3601,4/1/2021 5:00,4/1/2021 7:00,khodar,mberry,IS,1,4,C4,02:01.0,jdunfee,Outsystems,Normal,04:57.0,Completed,00:47.8,14:38.8,1:55,TRUE,Spring,Completed,2,1
